transaction_id,vehicle_id,vehicle_type,passage_time,lane_number,axle_count,toll_amount,currency,tag_status,vehicle_color,vehicle_make,vehicle_model,passage_status,gantry_id,tag_read_time,plate_captured,image_quality,weather_condition,speed_kmph,over_speed_flag
T100066,KA99AB2749,Bike,2025-06-27 06:00:05,4,5,5.5,AUD,Expired,Blue,Ford,Figo,Failed,G3,2025-06-27 06:00:09,Yes,Glare,Cloudy,40,Yes
T100067,KA99AB8416,Truck,2025-06-27 06:00:45,3,5,14.8,AUD,Expired,Black,Toyota,Altroz,Completed,G3,2025-06-27 06:00:46,No,Glare,Sunny,114,Yes
T100068,KA57AB6385,Bike,2025-06-27 06:01:16,3,3,4.44,AUD,Expired,White,Ford,Civic,Completed,G3,2025-06-27 06:01:21,Yes,Good,Cloudy,97,Yes
T100069,KA92AB5304,SUV,2025-06-27 06:00:12,2,3,19.39,AUD,Valid,Blue,Tata,Figo,Completed,G1,2025-06-27 06:00:13,No,Dark,Rainy,102,No
T100070,KA25AB4707,SUV,2025-06-27 06:01:40,4,5,7.54,AUD,Expired,Red,Tata,i20,Retry,G2,2025-06-27 06:01:44,Yes,Blur,Foggy,111,No
T100071,KA37AB2163,Car,2025-06-27 06:01:47,4,4,10.91,AUD,Valid,White,Toyota,i20,Completed,G2,2025-06-27 06:01:50,No,Glare,Sunny,31,Yes
T100072,KA88AB1637,Bus,2025-06-27 06:02:44,4,5,4.35,AUD,Pending,Red,Tata,ModelX,Completed,G1,2025-06-27 06:02:49,No,Good,Rainy,80,No
T100073,KA01AB4110,Truck,2025-06-27 06:00:09,3,3,15.72,AUD,Expired,Red,Honda,Figo,Failed,G1,2025-06-27 06:00:11,No,Blur,Foggy,25,Yes
T100074,KA84AB5253,Bike,2025-06-27 06:00:19,2,3,13.79,AUD,Expired,Grey,Tata,Figo,Retry,G1,2025-06-27 06:00:20,No,Blur,Cloudy,51,No
T100075,KA14AB2517,Bike,2025-06-27 06:00:12,1,5,12.37,AUD,Expired,White,Ford,i20,Failed,G1,2025-06-27 06:00:16,No,Blur,Rainy,70,Yes
T100076,KA62AB4400,Truck,2025-06-27 06:00:11,2,3,7.09,AUD,Valid,White,Honda,Civic,Completed,G3,2025-06-27 06:00:15,No,Blur,Cloudy,69,No
T100077,KA53AB5491,Car,2025-06-27 06:00:10,1,5,12.63,AUD,Expired,White,Toyota,Altroz,Retry,G1,2025-06-27 06:00:13,No,Glare,Foggy,96,Yes
T100078,KA35AB2055,Truck,2025-06-27 06:00:01,2,3,16.04,AUD,Valid,White,Toyota,Altroz,Failed,G2,2025-06-27 06:00:05,Yes,Good,Cloudy,84,No
T100079,KA89AB6555,Bike,2025-06-27 06:00:16,3,3,9.2,AUD,Valid,White,Tata,ModelX,Completed,G3,2025-06-27 06:00:19,Yes,Glare,Foggy,25,Yes
T100080,KA22AB6753,Bike,2025-06-27 06:00:05,3,3,16.86,AUD,Expired,Red,Honda,Altroz,Completed,G1,2025-06-27 06:00:08,No,Good,Cloudy,94,No
T100081,KA23AB1074,Truck,2025-06-27 06:01:06,3,4,16.59,AUD,Expired,Grey,Hyundai,ModelX,Retry,G2,2025-06-27 06:01:08,No,Dark,Rainy,99,No
T100082,KA85AB3172,Truck,2025-06-27 06:00:03,2,5,19.55,AUD,Expired,Grey,Tata,Figo,Failed,G2,2025-06-27 06:00:06,Yes,Good,Rainy,65,No
T100083,KA48AB1398,Truck,2025-06-27 06:00:54,3,5,9.12,AUD,Pending,Blue,Ford,Figo,Completed,G1,2025-06-27 06:00:57,No,Blur,Foggy,41,Yes
T100084,KA69AB2413,SUV,2025-06-27 06:01:43,2,3,10.35,AUD,Expired,Red,Toyota,Altroz,Completed,G2,2025-06-27 06:01:47,No,Blur,Sunny,44,No
T100085,KA09AB8449,SUV,2025-06-27 06:00:08,3,5,3.43,AUD,Valid,White,Toyota,Altroz,Failed,G3,2025-06-27 06:00:09,No,Blur,Cloudy,65,Yes
T100086,KA22AB8682,Bus,2025-06-27 06:02:09,3,5,12.45,AUD,Pending,White,Tata,Figo,Retry,G2,2025-06-27 06:02:11,Yes,Dark,Cloudy,59,Yes
T100087,KA78AB9481,Bus,2025-06-27 06:00:34,1,3,5.8,AUD,Valid,Red,Toyota,Figo,Completed,G3,2025-06-27 06:00:36,Yes,Dark,Rainy,85,No
T100088,KA01AB3416,SUV,2025-06-27 06:00:04,2,5,2.82,AUD,Expired,Blue,Honda,Civic,Completed,G3,2025-06-27 06:00:08,Yes,Dark,Rainy,92,Yes
T100089,KA12AB9287,Truck,2025-06-27 06:01:03,4,5,19.79,AUD,Valid,Black,Hyundai,Figo,Completed,G2,2025-06-27 06:01:08,Yes,Good,Sunny,70,No
T100090,KA67AB2857,Car,2025-06-27 06:00:08,4,5,8.98,AUD,Valid,White,Honda,ModelX,Failed,G1,2025-06-27 06:00:12,No,Glare,Foggy,117,No
T100091,KA03AB5894,Car,2025-06-27 06:00:16,2,3,8.15,AUD,Pending,Red,Toyota,i20,Completed,G3,2025-06-27 06:00:20,No,Good,Rainy,88,Yes
T100092,KA86AB4362,Bus,2025-06-27 06:00:47,1,5,15.53,AUD,Expired,Blue,Ford,Figo,Retry,G2,2025-06-27 06:00:48,Yes,Blur,Rainy,59,No
T100093,KA46AB4104,Truck,2025-06-27 06:00:54,1,3,10.95,AUD,Pending,Grey,Ford,Civic,Completed,G2,2025-06-27 06:00:59,No,Dark,Sunny,114,No
T100094,KA92AB5631,Car,2025-06-27 06:01:05,1,4,11.82,AUD,Pending,Blue,Ford,ModelX,Failed,G2,2025-06-27 06:01:10,No,Glare,Rainy,65,No
T100095,KA64AB7946,Bus,2025-06-27 06:01:14,4,5,5.72,AUD,Valid,Black,Toyota,Altroz,Completed,G1,2025-06-27 06:01:15,No,Good,Sunny,47,Yes
T100096,KA68AB6983,Bus,2025-06-27 06:00:36,3,4,10.4,AUD,Pending,Blue,Ford,Civic,Retry,G2,2025-06-27 06:00:37,No,Good,Sunny,94,Yes
T100097,KA50AB9321,Bus,2025-06-27 06:00:40,3,2,12.09,AUD,Pending,Black,Honda,i20,Completed,G1,2025-06-27 06:00:45,Yes,Blur,Foggy,55,No
T100098,KA75AB2031,Bike,2025-06-27 06:02:51,3,3,14.05,AUD,Expired,Black,Hyundai,Figo,Failed,G2,2025-06-27 06:02:52,Yes,Dark,Cloudy,53,No
T100099,KA31AB1639,Bus,2025-06-27 06:00:19,4,3,12.64,AUD,Pending,Grey,Hyundai,Civic,Failed,G1,2025-06-27 06:00:24,No,Good,Rainy,105,Yes
T100100,KA89AB4911,Truck,2025-06-27 06:01:07,1,4,13.19,AUD,Valid,Black,Tata,Figo,Completed,G3,2025-06-27 06:01:09,Yes,Good,Sunny,26,No
T100101,KA27AB4521,SUV,2025-06-27 06:00:53,4,3,14.32,AUD,Expired,Grey,Hyundai,i20,Failed,G3,2025-06-27 06:00:57,Yes,Good,Foggy,47,No
T100102,KA18AB7814,Bike,2025-06-27 06:02:10,2,5,15.0,AUD,Expired,Red,Ford,Civic,Failed,G1,2025-06-27 06:02:11,No,Good,Rainy,47,Yes
T100103,KA22AB1149,Car,2025-06-27 06:02:10,4,2,13.7,AUD,Valid,Red,Hyundai,ModelX,Failed,G2,2025-06-27 06:02:15,No,Glare,Foggy,32,Yes
T100104,KA58AB6884,Car,2025-06-27 06:00:40,3,2,8.24,AUD,Expired,Black,Honda,Altroz,Retry,G3,2025-06-27 06:00:44,Yes,Good,Sunny,107,No
T100105,KA37AB2196,SUV,2025-06-27 06:00:13,2,3,15.94,AUD,Pending,Blue,Toyota,Civic,Retry,G1,2025-06-27 06:00:18,No,Blur,Sunny,39,Yes
T100106,KA90AB5673,Bus,2025-06-27 06:00:00,1,5,14.13,AUD,Valid,White,Toyota,i20,Completed,G1,2025-06-27 06:00:05,Yes,Good,Foggy,47,No
T100107,KA86AB7300,Truck,2025-06-27 06:00:41,2,2,4.12,AUD,Valid,Blue,Toyota,ModelX,Failed,G2,2025-06-27 06:00:43,No,Dark,Rainy,80,No
T100108,KA08AB4844,Truck,2025-06-27 06:01:31,1,4,10.02,AUD,Valid,Blue,Honda,Figo,Retry,G3,2025-06-27 06:01:33,No,Dark,Rainy,59,No
T100109,KA78AB1531,Bike,2025-06-27 06:00:14,3,4,13.17,AUD,Valid,Blue,Ford,ModelX,Failed,G3,2025-06-27 06:00:16,Yes,Glare,Sunny,88,No
T100110,KA29AB3551,Bus,2025-06-27 06:00:10,2,4,11.41,AUD,Expired,Red,Toyota,ModelX,Failed,G3,2025-06-27 06:00:11,No,Dark,Sunny,66,Yes
T100111,KA11AB6377,SUV,2025-06-27 06:01:30,3,4,4.24,AUD,Pending,Blue,Hyundai,i20,Retry,G3,2025-06-27 06:01:35,Yes,Blur,Foggy,78,No
T100112,KA47AB4782,SUV,2025-06-27 06:01:55,4,4,13.19,AUD,Valid,Blue,Tata,ModelX,Failed,G1,2025-06-27 06:02:00,Yes,Blur,Foggy,77,No
T100113,KA68AB1740,Bike,2025-06-27 06:00:17,2,5,9.62,AUD,Expired,White,Toyota,Altroz,Retry,G1,2025-06-27 06:00:22,No,Dark,Foggy,28,Yes
T100114,KA64AB6201,Bike,2025-06-27 06:00:02,4,4,4.89,AUD,Expired,White,Tata,ModelX,Retry,G2,2025-06-27 06:00:04,No,Glare,Foggy,22,Yes
T100115,KA97AB3500,SUV,2025-06-27 06:01:10,2,3,12.24,AUD,Pending,Blue,Ford,ModelX,Failed,G1,2025-06-27 06:01:15,Yes,Dark,Cloudy,91,Yes
T100116,KA35AB1952,Bus,2025-06-27 06:02:05,1,2,19.45,AUD,Expired,Grey,Tata,i20,Failed,G2,2025-06-27 06:02:10,Yes,Blur,Rainy,119,No
T100117,KA19AB4711,Car,2025-06-27 06:00:04,1,5,4.91,AUD,Expired,Red,Hyundai,i20,Retry,G3,2025-06-27 06:00:05,No,Dark,Foggy,59,No
T100118,KA18AB9872,SUV,2025-06-27 06:00:12,2,4,19.59,AUD,Expired,White,Ford,Altroz,Failed,G3,2025-06-27 06:00:13,Yes,Dark,Cloudy,115,No
T100119,KA36AB9943,Car,2025-06-27 06:00:28,4,3,14.15,AUD,Pending,Red,Toyota,Figo,Completed,G2,2025-06-27 06:00:31,No,Good,Sunny,42,No
T100120,KA90AB9055,Bus,2025-06-27 06:00:00,3,5,6.13,AUD,Expired,White,Hyundai,i20,Completed,G3,2025-06-27 06:00:03,No,Blur,Sunny,52,Yes
T100121,KA61AB1583,Bus,2025-06-27 06:00:47,1,4,16.0,AUD,Pending,Red,Ford,Civic,Retry,G1,2025-06-27 06:00:49,No,Good,Cloudy,107,Yes
T100122,KA26AB3375,SUV,2025-06-27 06:02:32,1,5,8.0,AUD,Valid,Red,Ford,Altroz,Failed,G2,2025-06-27 06:02:37,No,Glare,Rainy,88,No
T100123,KA45AB2356,Truck,2025-06-27 06:01:44,3,4,13.2,AUD,Valid,Grey,Toyota,Civic,Failed,G1,2025-06-27 06:01:47,Yes,Glare,Rainy,94,Yes
T100124,KA25AB4464,SUV,2025-06-27 06:00:15,4,2,5.89,AUD,Pending,Black,Hyundai,ModelX,Retry,G2,2025-06-27 06:00:20,Yes,Blur,Cloudy,68,No
T100125,KA88AB3590,Car,2025-06-27 06:00:29,3,4,9.25,AUD,Pending,White,Hyundai,Civic,Completed,G2,2025-06-27 06:00:33,No,Dark,Foggy,55,No
T100126,KA02AB9517,Bus,2025-06-27 06:00:39,3,3,8.73,AUD,Expired,Black,Hyundai,ModelX,Completed,G2,2025-06-27 06:00:44,No,Good,Foggy,89,Yes
T100127,KA24AB2355,SUV,2025-06-27 06:00:22,3,2,9.43,AUD,Expired,Red,Toyota,Civic,Retry,G1,2025-06-27 06:00:23,No,Blur,Sunny,25,Yes
T100128,KA47AB4004,Bike,2025-06-27 06:01:34,3,2,16.44,AUD,Valid,Blue,Tata,ModelX,Failed,G1,2025-06-27 06:01:39,No,Glare,Sunny,36,No
T100129,KA66AB7342,SUV,2025-06-27 06:04:20,1,2,3.22,AUD,Valid,White,Honda,Figo,Retry,G3,2025-06-27 06:04:25,No,Blur,Foggy,68,Yes
T100130,KA50AB8989,Bike,2025-06-27 06:03:25,4,4,18.69,AUD,Expired,Red,Hyundai,i20,Failed,G1,2025-06-27 06:03:26,Yes,Dark,Rainy,110,Yes
T100131,KA97AB4345,Bike,2025-06-27 06:00:03,2,4,16.34,AUD,Valid,Black,Hyundai,ModelX,Completed,G2,2025-06-27 06:00:07,No,Good,Cloudy,24,No
T100132,KA35AB2585,Car,2025-06-27 06:00:07,1,5,15.53,AUD,Pending,Black,Hyundai,Figo,Failed,G1,2025-06-27 06:00:12,No,Blur,Cloudy,26,Yes
T100133,KA79AB1610,Bike,2025-06-27 06:00:26,4,2,5.17,AUD,Expired,White,Hyundai,ModelX,Failed,G2,2025-06-27 06:00:30,No,Blur,Sunny,91,No
T100134,KA46AB2125,SUV,2025-06-27 06:02:04,1,2,2.96,AUD,Expired,Black,Hyundai,Civic,Retry,G1,2025-06-27 06:02:06,No,Good,Foggy,83,No
T100135,KA14AB2189,SUV,2025-06-27 06:00:21,2,4,8.24,AUD,Valid,White,Toyota,Civic,Retry,G1,2025-06-27 06:00:22,Yes,Good,Sunny,117,No
T100136,KA64AB6905,Bus,2025-06-27 06:01:12,2,5,9.08,AUD,Pending,Blue,Honda,Civic,Completed,G3,2025-06-27 06:01:16,Yes,Blur,Cloudy,106,No
T100137,KA03AB8911,Bike,2025-06-27 06:02:17,1,2,4.49,AUD,Pending,White,Honda,Figo,Failed,G2,2025-06-27 06:02:22,Yes,Blur,Cloudy,57,Yes
T100138,KA13AB9446,Car,2025-06-27 06:05:01,4,2,18.45,AUD,Pending,Blue,Ford,Altroz,Failed,G1,2025-06-27 06:05:06,No,Glare,Cloudy,24,Yes
T100139,KA63AB7564,Car,2025-06-27 06:00:36,3,2,5.4,AUD,Pending,Red,Toyota,ModelX,Completed,G1,2025-06-27 06:00:41,No,Good,Rainy,75,Yes
T100140,KA58AB9223,Bike,2025-06-27 06:00:28,3,4,6.37,AUD,Valid,Black,Honda,i20,Completed,G3,2025-06-27 06:00:33,Yes,Blur,Rainy,78,Yes
T100141,KA81AB1141,Car,2025-06-27 06:01:06,2,2,3.83,AUD,Valid,White,Ford,Altroz,Failed,G3,2025-06-27 06:01:09,Yes,Blur,Cloudy,58,No
T100142,KA33AB1181,Truck,2025-06-27 06:00:00,2,3,7.72,AUD,Expired,Blue,Tata,ModelX,Completed,G3,2025-06-27 06:00:01,No,Glare,Rainy,117,No
T100143,KA44AB2673,SUV,2025-06-27 06:00:37,4,2,13.66,AUD,Valid,White,Toyota,i20,Failed,G3,2025-06-27 06:00:40,Yes,Glare,Cloudy,29,Yes
T100144,KA06AB1432,Truck,2025-06-27 06:02:07,1,4,11.93,AUD,Pending,Black,Hyundai,Figo,Failed,G3,2025-06-27 06:02:10,No,Blur,Sunny,76,Yes
T100145,KA03AB1303,Truck,2025-06-27 06:01:16,1,3,9.09,AUD,Pending,White,Hyundai,i20,Retry,G2,2025-06-27 06:01:19,No,Blur,Sunny,36,Yes
T100146,KA99AB6842,Car,2025-06-27 06:00:14,4,3,17.98,AUD,Expired,Grey,Hyundai,i20,Completed,G3,2025-06-27 06:00:19,No,Dark,Cloudy,38,Yes
